 CONF#        E (DFT) (+ ΔGsolv)       ΔE (DFT) (+ δΔGsolv)       GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                     [Eh]                   [kcal/mol]             [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF98           -390.801155                   0.95                ---         -390.801155          0.95                0.42         
CONF100          -390.801109                   0.97                ---         -390.801109          0.97                0.40         
CONF101          -390.801069                   1.00                ---         -390.801069          1.00                0.39         
CONF102          -390.801097                   0.98                ---         -390.801097          0.98                0.40         
CONF103          -390.801100                   0.98                ---         -390.801100          0.98                0.40         
CONF104          -390.801124                   0.97                ---         -390.801124          0.97                0.41         
CONF105          -390.800900                   1.11                ---         -390.800900          1.11                0.32         
CONF106          -390.800991                   1.05                ---         -390.800991          1.05                0.36         
CONF107          -390.800940                   1.08                ---         -390.800940          1.08                0.34         
CONF108          -390.801147                   0.95                ---         -390.801147          0.95                0.42         
CONF109          -390.800788                   1.18                ---         -390.800788          1.18                0.29         
CONF110          -390.800783                   1.18                ---         -390.800783          1.18                0.28         
CONF111          -390.800627                   1.28                ---         -390.800627          1.28                0.24         
CONF112          -390.801141                   0.95                ---         -390.801141          0.95                0.42         
CONF113          -390.801006                   1.04                ---         -390.801006          1.04                0.36         
CONF114          -390.801110                   0.97                ---         -390.801110          0.97                0.40         
CONF115          -390.801118                   0.97                ---         -390.801118          0.97                0.41         
CONF116          -390.800814                   1.16                ---         -390.800814          1.16                0.29         
CONF117          -390.800648                   1.26                ---         -390.800648          1.26                0.25         
CONF118          -390.800724                   1.22                ---         -390.800724          1.22                0.27         
CONF119          -390.801100                   0.98                ---         -390.801100          0.98                0.40         
CONF120          -390.800855                   1.13                ---         -390.800855          1.13                0.31         
CONF121          -390.800819                   1.16                ---         -390.800819          1.16                0.30         
CONF122          -390.801136                   0.96                ---         -390.801136          0.96                0.41         
CONF124          -390.800571                   1.31                ---         -390.800571          1.31                0.23         
CONF125          -390.801046                   1.01                ---         -390.801046          1.01                0.38         
CONF127          -390.801054                   1.01                ---         -390.801054          1.01                0.38         
CONF128          -390.801007                   1.04                ---         -390.801007          1.04                0.36         
CONF129          -390.800340                   1.46                ---         -390.800340          1.46                0.18         
CONF130          -390.801055                   1.01                ---         -390.801055          1.01                0.38         
CONF131          -390.800997                   1.04                ---         -390.800997          1.04                0.36         
CONF132          -390.801024                   1.03                ---         -390.801024          1.03                0.37         
CONF133          -390.800353                   1.45                ---         -390.800353          1.45                0.18         
CONF135          -390.801024                   1.03                ---         -390.801024          1.03                0.37         
CONF136          -390.801014                   1.03                ---         -390.801014          1.03                0.36         
CONF140          -390.801032                   1.02                ---         -390.801032          1.02                0.37         
CONF148          -390.800829                   1.15                ---         -390.800829          1.15                0.30         
CONF149          -390.800945                   1.08                ---         -390.800945          1.08                0.34         
CONF150          -390.800894                   1.11                ---         -390.800894          1.11                0.32         
CONF151          -390.800941                   1.08                ---         -390.800941          1.08                0.34         
CONF155          -390.800809                   1.16                ---         -390.800809          1.16                0.29         
CONF156          -390.800810                   1.16                ---         -390.800810          1.16                0.29         
CONF157          -390.801340                   0.83                ---         -390.801340          0.83                0.51         
CONF159          -390.800895                   1.11                ---         -390.800895          1.11                0.32         
CONF160          -390.800755                   1.20                ---         -390.800755          1.20                0.28         
CONF161          -390.800881                   1.12                ---         -390.800881          1.12                0.32         
CONF163          -390.800882                   1.12                ---         -390.800882          1.12                0.32         
CONF164          -390.800729                   1.21                ---         -390.800729          1.21                0.27         
CONF171          -390.801247                   0.89                ---         -390.801247          0.89                0.47         
CONF172          -390.801648                   0.64                ---         -390.801648          0.64                0.71         
CONF173          -390.800454                   1.39                ---         -390.800454          1.39                0.20         
CONF174          -390.800708                   1.23                ---         -390.800708          1.23                0.26         
CONF175          -390.800710                   1.22                ---         -390.800710          1.22                0.26         
CONF177          -390.801246                   0.89                ---         -390.801246          0.89                0.47         
CONF179          -390.801637                   0.64                ---         -390.801637          0.64                0.70         
CONF182          -390.801048                   1.01                ---         -390.801048          1.01                0.38         
CONF184          -390.801044                   1.02                ---         -390.801044          1.02                0.38         
CONF185          -390.800838                   1.14                ---         -390.800838          1.14                0.30         
CONF186          -390.800389                   1.43                ---         -390.800389          1.43                0.19         
CONF188          -390.800955                   1.07                ---         -390.800955          1.07                0.34         
CONF189          -390.800879                   1.12                ---         -390.800879          1.12                0.32         
CONF191          -390.800328                   1.46                ---         -390.800328          1.46                0.18         
CONF192          -390.800881                   1.12                ---         -390.800881          1.12                0.32         
CONF193          -390.800876                   1.12                ---         -390.800876          1.12                0.31         
CONF196          -390.801535                   0.71                ---         -390.801535          0.71                0.63         
CONF197          -390.801531                   0.71                ---         -390.801531          0.71                0.63         
CONF198          -390.801527                   0.71                ---         -390.801527          0.71                0.63         
CONF199          -390.801057                   1.01                ---         -390.801057          1.01                0.38         
CONF202          -390.800530                   1.34                ---         -390.800530          1.34                0.22         
CONF203          -390.800680                   1.24                ---         -390.800680          1.24                0.26         
CONF204          -390.800345                   1.45                ---         -390.800345          1.45                0.18         
CONF206          -390.801524                   0.71                ---         -390.801524          0.71                0.62         
CONF207          -390.801572                   0.68                ---         -390.801572          0.68                0.66         
CONF208          -390.801522                   0.72                ---         -390.801522          0.72                0.62         
CONF210          -390.800278                   1.50                ---         -390.800278          1.50                0.17         
CONF211          -390.800907                   1.10                ---         -390.800907          1.10                0.33         
CONF212          -390.800374                   1.44                ---         -390.800374          1.44                0.18         
CONF213          -390.800378                   1.43                ---         -390.800378          1.43                0.19         
CONF218          -390.801471                   0.75                ---         -390.801471          0.75                0.59         
CONF219          -390.801424                   0.78                ---         -390.801424          0.78                0.56         
CONF222          -390.800981                   1.05                ---         -390.800981          1.05                0.35         
CONF225          -390.800394                   1.42                ---         -390.800394          1.42                0.19         
CONF228          -390.800862                   1.13                ---         -390.800862          1.13                0.31         
CONF229          -390.800578                   1.31                ---         -390.800578          1.31                0.23         
CONF230          -390.800422                   1.41                ---         -390.800422          1.41                0.19         
CONF231          -390.800422                   1.41                ---         -390.800422          1.41                0.19         
CONF232          -390.800575                   1.31                ---         -390.800575          1.31                0.23         
CONF235          -390.801351                   0.82                ---         -390.801351          0.82                0.52         
CONF236          -390.800305                   1.48                ---         -390.800305          1.48                0.17         
CONF237          -390.801276                   0.87                ---         -390.801276          0.87                0.48         
CONF238          -390.801875                   0.49                ---         -390.801875          0.49                0.91         
CONF241          -390.800740                   1.21                ---         -390.800740          1.21                0.27         
CONF243          -390.800276                   1.50                ---         -390.800276          1.50                0.17         
CONF244          -390.800400                   1.42                ---         -390.800400          1.42                0.19         
CONF247          -390.800549                   1.33                ---         -390.800549          1.33                0.22         
CONF248          -390.800825                   1.15                ---         -390.800825          1.15                0.30         
CONF252          -390.801029                   1.02                ---         -390.801029          1.02                0.37         
CONF253          -390.800655                   1.26                ---         -390.800655          1.26                0.25         
CONF261          -390.800650                   1.26                ---         -390.800650          1.26                0.25         
CONF262          -390.800655                   1.26                ---         -390.800655          1.26                0.25         
CONF263          -390.800652                   1.26                ---         -390.800652          1.26                0.25         
CONF266          -390.800765                   1.19                ---         -390.800765          1.19                0.28         
